Colombes,0,61,50,27,2,1
Colomiers,1,46,24,11,2,0
Combs-la-Ville,0,9,7,4,1,0
Compiègne,0,89,116,165,293,85
Condé-sur-l'Escaut,0,43,29,13,0,0
Conflans-Sainte-Honorine,0,8,12,5,0,0
Confolens,0,5,1,0,0,0
Congis-sur-Thérouanne,3,18,22,5,0,0
Contamine-sur-Arve,0,3,9,3,2,0
Contrexéville,0,2,4,3,1,0
Corbeil-Essonnes,0,116,159,67,13,0
Corbie,0,11,15,3,0,0
Corenc,0,41,49,11,1,0
Cormeilles-en-Parisis,0,1,3,2,0,0
Corte,0,316,320,177,64,9
Cosne-Cours-sur-Loire,0,4,4,1,1,0
Cosnes-et-Romain,0,65,46,15,5,0
Cottenchy,0,10,13,3,0,0
Coulogne,0,4,2,1,0,0
Coulommiers,0,31,24,13,3,0
Coulounieix-Chamiers,0,14,26,8,3,0
Courbevoie,0,198,338,405,180,6
Courcelles-Chaussy,0,9,7,2,0,0
Cournon-d'Auvergne,0,3,6,16,2,0
Coutances,0,26,25,9,1,0
Creil,0,139,100,26,5,0
Crépy-en-Valois,0,12,6,5,1,0
Crest,0,5,6,3,0,0
Créteil,1,2132,2350,1081,241,9
Creutzwald,0,8,8,1,1,0
Crézancy,0,12,9,1,0,0
Cuffies,0,156,86,33,5,1
Cugnaux,0,17,17,14,1,0
Cusset,0,71,61,27,4,0
Damigny,0,77,59,29,1,0
Dammarie-les-Lys,0,13,9,3,0,0
Dannemarie-sur-Crète,0,15,23,17,5,0
Dardilly,0,39,35,22,8,0
Darnétal,0,0,11,54,23,1
Davayé,0,9,6,0,0,0
Dax,0,83,70,24,5,0
Deauville,0,15,10,4,1,0
Decazeville,0,12,7,7,0,0
Dechy,0,18,28,36,1,0
Décines-Charpieu,0,25,16,6,1,0
Decize,0,4,1,0,0,0
Dembeni,0,288,100,32,5,0
Denain,0,38,41,16,0,0
Derval,0,8,13,3,0,0
Deuil-la-Barre,0,13,29,6,1,0
Déville-lès-Rouen,0,23,17,5,0,0
Die,0,1,0,0,0,0
Dieppe,0,63,51,24,2,0
Dieuze,0,6,2,1,0,0
Digne-les-Bains,0,57,73,32,8,0
Digoin,0,7,3,0,1,0
Dijon,0,1832,1981,1509,667,90
Dinan,0,54,46,19,3,0
Dinard,0,15,24,16,6,0
Dives-sur-Mer,0,3,1,0,0,0
Dol-de-Bretagne,0,6,16,15,2,0
Dole,0,65,53,31,7,0
Domfront en Poiraie,0,5,2,0,0,0
Domont,0,8,7,9,1,0
Douai,0,245,213,265,176,17
Dourdan,0,19,21,5,0,0
Douvres-la-Délivrande,1,5,4,1,0,0
Draguignan,0,104,75,25,6,0
Drancy,0,36,22,13,3,0
Drap,0,5,10,5,1,0
Draveil,0,2,3,1,3,0
Dreux,0,60,52,17,4,0
Ducos,0,12,18,16,3,1
Dugny,0,20,24,12,7,0
Dunkerque,1,407,363,206,47,10
Eaubonne,0,22,18,11,3,0
Echirolles,0,30,34,18,2,0
Ecully,0,100,239,174,40,2
Egletons,0,45,80,34,2,0
Elancourt,0,56,57,48,8,1
Elbeuf,0,57,54,31,3,1
Elne,0,11,1,1,0,0
Embrun,0,9,6,6,1,0
Enghien-les-Bains,0,54,52,45,20,0
Epagny Metz-Tessy,0,9,27,16,2,0
Epernay,0,34,33,14,2,0
Epinal,0,220,226,80,12,0
Epinay-sur-Orge,0,27,15,7,1,0
Epinay-sur-Seine,0,35,13,4,3,0
Epron,0,16,52,32,16,0
Ermont,0,60,45,16,4,0
Erstein,0,9,20,12,2,0
Escurolles,0,1,3,0,0,0
Essey-lès-Nancy,0,2,1,0,0,0
Estaires,0,10,9,2,0,0
Etampes,0,70,62,15,0,0
Etaples,0,6,3,4,1,0
Etel,0,15,6,7,2,0
Eu,0,16,16,9,1,0
Evian-les-Bains,0,4,6,3,0,0
Evreux,0,251,241,88,21,0
Evron,0,7,2,1,0,0
Evry-Courcouronnes,0,1110,806,267,47,0
Eysines,0,11,11,1,1,0
Faaa,0,361,221,141,53,7
Falaise,0,8,15,6,3,0
Fameck,0,14,9,1,1,0
Faverges-Seythenex,0,4,7,6,4,0
Fécamp,0,47,29,22,3,0
Felletin,0,21,3,7,2,0
Ferney-Voltaire,0,12,7,3,1,0
Ferrières-sur-Ariège,0,3,5,1,0,0
Feurs,0,8,2,3,1,0
Figeac,0,56,58,23,4,0
Firminy,0,46,25,10,2,0
Flers,0,42,22,13,4,0
Fleury-les-Aubrais,0,5,3,2,1,0
Flixecourt,0,1,1,0,0,0
Foix,0,22,18,10,4,0
Fondettes,0,26,14,4,0,0
Fontainebleau,0,165,212,181,81,10
Fontaine-lès-Vervins,0,12,7,2,1,0
Fontaines,0,4,10,3,0,0
Fontannes,0,23,24,15,0,0
Fontenay-le-Comte,0,67,40,7,1,0
Fontenay-sous-Bois,1,19,33,19,7,0
Font-Romeu-Odeillo-Via,0,59,59,26,4,0
Forbach,0,67,44,21,6,0
Forges-les-Eaux,0,6,11,1,0,0
Fort-de-France,1,295,241,138,26,2
Fosses,0,15,21,9,2,0
Fouesnant,0,12,13,5,0,0
Fougères,0,44,24,13,1,0
Fougerolles-Saint-Valbert,0,3,4,0,0,0
Foulayronnes,0,0,1,0,0,0
Fourchambault,0,0,2,1,2,0
Fourmies,0,31,23,13,0,0
Franconville,0,16,16,4,1,0
Franqueville-Saint-Pierre,0,10,4,3,1,0
Fréjus,0,6,7,2,0,0
Fresnes,0,10,11,5,1,0
Friville-Escarbotin,0,19,12,2,1,0
Gagny,0,30,24,15,3,0
Gaillac,0,6,8,4,1,0
Gaillon,0,4,5,1,0,0
Gannat,0,5,3,2,0,0
Gap,0,89,88,36,10,0
Garches,0,26,13,1,0,0
Gardanne,0,30,18,9,2,0
Garges-lès-Gonesse,0,2,12,1,0,0
Gassin,0,3,3,2,1,0
Genech,0,47,62,30,5,0
Gennevilliers,0,25,15,11,5,0
Gérardmer,0,6,13,2,1,0
Giel-Courteilles,0,4,7,4,0,0
Gien,0,26,15,6,0,0
Gières,0,16,12,2,2,0
Gif-sur-Yvette,0,17,6,4,1,0
Gignac,0,6,6,3,0,0
Gignac-la-Nerthe,0,2,4,0,0,0
Gisors,0,14,8,3,1,0
Givors,0,21,15,7,0,0
Gonesse,0,47,35,10,3,0
Gorges,0,10,13,10,0,0
Gourdan-Polignan,0,16,10,2,1,0
Goussainville,0,32,17,6,1,0
Gradignan,0,99,217,138,22,0
Grande-Synthe,0,57,25,8,0,0
Granville,0,43,64,33,7,0
Grasse,0,41,39,6,2,0
Graulhet,0,6,5,3,0,0
Gray,0,12,3,1,0,0
Grenoble,6,576,650,689,575,75
Grigny,0,0,0,0,0,0
Gron,0,3,0,0,0,0
Guebwiller,0,45,29,15,4,0
Guer,0,18,10,6,0,0
Guéret,0,65,39,14,2,0
Gugnécourt,0,5,2,1,0,0
Guilherand-Granges,0,3,2,0,0,0
Guingamp,0,97,73,33,5,0
Guipavas,0,1,5,5,0,0
Guyancourt,4,522,609,529,170,15
Haguenau,0,112,127,89,21,0
Hanoï,0,0,0,4,0,0
Hasparren,0,9,7,5,4,0
Haubourdin,0,9,11,3,0,0
Hautmont,0,12,9,0,1,0
Hauts de Bienne,0,28,28,10,3,0
Hazebrouck,0,43,33,11,4,0
Hénin-Beaumont,0,58,51,15,5,0
Hennebont,0,13,3,1,0,0
Héricourt,0,5,4,1,0,0
Hérouville-Saint-Clair,0,34,49,19,1,0
Hirson,0,18,15,6,0,0
Hyères,0,42,32,7,4,0
Ifs,1,41,85,65,15,1
Illkirch-Graffenstaden,0,131,265,238,68,1
Illzach,0,9,8,4,3,0
Ingersheim,0,5,1,1,0,0
Ingré,0,5,7,4,1,0
Isle,0,11,13,11,2,1
Issoire,0,22,10,6,0,0
Issoudun,0,36,27,10,3,0
Issy-les-Moulineaux,0,93,93,38,9,0
Istres,0,11,16,2,1,0
Ivry-sur-Seine,0,109,269,197,49,3
Jacob-Bellecombette,0,330,393,215,50,0
Jacou,0,9,9,2,0,0
Jarny,0,22,9,11,1,0
Jaunay-Marigny,0,12,5,1,0,0
Javené,0,10,10,9,1,0
Joigny,0,14,7,0,1,0
Joinville-le-Pont,0,42,18,5,0,0
Jonzac,0,1,5,4,0,0
Joué-lès-Tours,0,22,17,10,2,0
Jouy-en-Josas,0,10,20,2,2,0
Jouy-le-Moutier,0,11,8,2,2,0
Kourou,0,46,30,5,2,0
La Baule-Escoublac,0,16,5,2,0,0
Labège,0,3,19,13,2,0
La Canourgue,0,5,7,1,0,0
La Celle-Saint-Cloud,0,28,8,10,1,0
La Ciotat,0,17,34,20,2,0
La Côte-Saint-André,0,5,7,3,0,0
La Courneuve,0,16,15,7,0,0
La Couronne,0,169,161,65,12,0
La Fère,0,4,1,0,0,0
La Ferté-Bernard,0,15,4,4,0,0
La Ferté Macé,0,17,9,0,1,0
La Flèche,0,21,41,107,77,1
La Garde,0,827,815,383,69,0
La Garenne-Colombes,0,10,5,3,1,0
La Gaude,0,8,16,17,3,0
Lagny-sur-Marne,0,22,11,4,0,0
Lagord,0,4,11,3,1,0
La Grand-Combe,0,9,6,5,0,0
La Guerche-de-Bretagne,0,1,1,1,0,0
L'Aigle,0,17,12,8,0,0
La Madeleine,0,45,73,36,20,0
Lamballe-Armor,0,6,3,0,0,0
Lambersart,0,12,14,2,1,0
Lambesc,0,4,1,0,0,0
Lamentin,0,13,5,3,0,0
La Motte-Servolex,0,10,14,8,1,0
Landerneau,0,24,39,23,8,0
Landivisiau,0,8,2,0,0,0
Landrecies,0,20,4,1,0,0
Lanester,0,7,10,3,0,0
Langogne,0,14,8,2,0,0
Langres,0,6,10,1,0,0
Langueux,0,19,21,3,0,0
Lannion,0,91,229,125,18,0
Laon,0,189,144,45,8,0
La Plaine-des-Palmistes,0,5,1,0,0,0
La Possession,0,11,21,5,3,0
La Queue-en-Brie,0,12,10,5,0,0
La Queue-les-Yvelines,0,19,20,9,0,0
La Ravoire,0,32,14,6,1,0
L'Arbresle,0,2,1,0,0,0
Largentière,0,0,0,0,0,0
La Roche-Jaudy,0,26,27,7,1,0
La Rochelle,0,684,889,687,182,7
La Roche-sur-Foron,0,12,17,7,1,0
La Roche-sur-Yon,0,383,655,453,122,4
La Rochette,0,4,9,1,0,0
Lasbordes,0,24,12,5,1,0
La Seyne-sur-Mer,0,46,31,15,3,0
La Souterraine,0,6,31,14,6,0
La Teste-de-Buch,0,1,3,3,1,0
La Trinité,1,57,44,13,0,0
Lattes,0,7,8,6,1,0
Laval,0,333,420,315,109,0
Lavelanet,0,3,2,2,1,0
Laxou,0,50,31,35,16,0
Le Ban-Saint-Martin,0,11,23,8,5,0
Le Blanc,0,4,6,4,1,0
Le Blanc-Mesnil,0,6,2,4,1,0
Le Bourget-du-Lac,0,217,354,233,60,3
Le Breuil-sur-Couze,0,0,1,0,0,0
Le Cateau-Cambrésis,0,4,3,2,0,0
Le Chaffaut-Saint-Jurson,0,6,6,3,0,0
Le Chesnay-Rocquencourt,0,4,17,36,22,0
Le Creusot,0,219,172,51,6,0
Lectoure,0,4,3,3,0,0
Le Faou,0,6,2,0,0,0
Le François,0,9,6,1,0,0
Le Gosier,0,20,29,12,2,0
Le Grand-Quevilly,0,37,27,17,2,0
Le Havre,0,824,777,499,210,45
Le Kremlin-Bicêtre,0,84,185,198,77,2
Le Lamentin,0,34,20,8,1,0
Le Landreau,0,9,9,4,0,0
Le Lorrain,0,8,4,1,0,0
Le Mans,1,923,941,491,118,4
Le Marin,0,18,14,4,2,0
Le Mayet-de-Montagne,0,0,0,0,0,0
Le Mée-sur-Seine,0,12,3,3,0,0
Le Mesnil-Esnard,0,43,38,10,1,0
Le Mesnil-Saint-Denis,0,10,19,10,1,0
Le Moule,0,5,1,1,0,0
Lempdes,0,29,20,35,12,4
Le Muy,0,5,10,2,1,0
Lens,0,337,386,235,85,5
Le Perreux-sur-Marne,0,33,45,17,3,0
Le Petit-Quevilly,0,6,6,6,2,0
Le Port,0,41,53,24,6,1
Le Portel,0,3,1,0,0,0
Le Puy-en-Velay,0,135,133,64,7,0
Le Raincy,0,24,61,93,37,2
Le Rheu,0,33,37,22,7,1
Le Robert,0,5,2,1,0,0
Les Abymes,0,122,112,110,38,7
Les Andelys,0,4,2,1,0,0
Les Avirons,0,9,10,8,7,0
Lescar,0,4,5,4,0,0
Les Herbiers,0,24,17,10,1,0
Les Loges-Margueron,0,9,5,1,0,0
Les Moutiers-en-Cinglais,0,1,2,1,0,0
Les Mureaux,0,52,49,21,9,0
Lesneven,0,9,11,3,0,0
Lesparre-Médoc,0,4,5,1,1,0
Les Ponts-de-Cé,0,120,145,85,13,1
Les Sables-d'Olonne,0,50,36,10,3,0
Les Trois-Bassins,0,11,4,4,2,0
Le Subdray,0,9,7,6,1,0
Les Ulis,0,18,20,18,2,1
Le Tampon,0,847,563,274,108,16
Le Teil,0,8,8,0,0,0
Le Touquet-Paris-Plage,2,27,25,17,4,0
Le Tremblay-sur-Mauldre,0,4,7,2,0,0
Levallois-Perret,0,24,20,16,3,0
Levier,0,1,12,4,0,0
Le Vigan,0,4,4,3,0,0
Libourne,0,56,48,28,7,0
Lieusaint,0,239,323,230,42,4
Liévin,0,147,143,62,19,0
Lille,3,3694,5316,5253,2850,415
Lillebonne,0,6,4,1,0,0
Lillers,0,14,6,5,0,0
Limas,0,17,16,8,2,0
Limeil-Brévannes,0,54,40,9,1,0
Limoges,0,1159,1323,807,331,22
Limonest,0,4,7,0,0,0
Limoux,0,6,6,4,0,0
Lingolsheim,0,2,25,26,8,0
Lisieux,0,77,80,23,3,0
L'Isle-Adam,0,14,28,9,0,0
L'Isle-d'Abeau,0,22,8,4,0,0
L'Isle-Jourdain,0,0,0,0,0,0
L'Isle-sur-la-Sorgue,0,11,4,4,1,0
Livry-Gargan,0,12,46,27,2,0
Lodève,0,4,6,3,0,0
Lognes,0,2,8,4,0,0
London,0,0,0,14,52,4
Longchamp,0,2,4,2,1,0
Longjumeau,0,46,26,14,0,0
Longperrier,0,5,5,2,0,0
Longuenesse,0,80,44,7,2,0
Longwy,1,16,12,6,0,0
Lons-le-Saunier,0,23,30,14,2,0
Loos,0,65,79,43,11,0
Lopérec,0,16,14,2,1,0
Lorgues,0,10,12,4,1,0
Lorient,0,369,462,269,61,3
Lormont,0,34,35,18,3,0
Loudéac,0,24,14,9,1,0
Loudun,0,6,4,2,0,0
Louhans,0,5,2,2,0,1
Lourdes,0,2,2,0,0,0
Louviers,2,10,14,6,0,0
Louvroil,0,13,7,5,0,0
Lucé,0,7,5,1,0,0
Luçon,0,21,12,9,0,0
Luisant,0,51,24,6,1,0
Lunel,0,11,21,9,3,0
Lunéville,0,23,25,6,1,0
Lure,0,19,10,6,0,0
Luxeuil-les-Bains,0,12,6,3,1,0
Lyon,0,599,734,549,166,5
Lyon 1er Arrondissement,0,106,128,161,116,7
Lyon 2e  Arrondissement,0,252,248,251,136,14
Lyon 3e  Arrondissement,0,107,174,176,61,3
Lyon 4e  Arrondissement,0,234,71,33,6,0
Lyon 5e  Arrondissement,0,126,179,359,277,88
Lyon 6e  Arrondissement,0,22,33,118,464,230
Lyon 7e  Arrondissement,0,237,479,479,233,30
Lyon 8e  Arrondissement,0,1104,1617,1293,611,42
Lyon 9e  Arrondissement,0,226,291,177,42,1
Mâcon,0,71,70,40,8,0
Macouria,0,18,7,3,0,0
Madrid,0,0,0,4,22,3
Magnac-Laval,0,8,6,1,1,0
Magnanville,0,12,6,1,1,0
Magny-le-Hongre,0,21,22,6,3,0
Magny-les-Hameaux,0,7,11,3,1,0
Mahina,0,4,3,7,1,0
Maisons-Alfort,0,24,26,10,30,12
Malakoff,0,13,4,6,1,0
Maltot,0,0,0,0,0,0
Malzéville,0,10,23,15,3,0
Mamirolle,0,15,27,5,1,0
Mamoudzou,2,128,88,33,8,0
Mana,0,20,6,2,0,0
Manosque,0,20,20,2,1,0
Mantes-la-Jolie,0,103,123,74,6,0
Mantes-la-Ville,0,26,19,14,2,0
Marcy-l'Etoile,0,0,0,2,28,10
Margency,0,21,11,4,0,0
Marignane,0,17,10,5,0,0
Marmande,0,46,38,19,4,0
Marne-la-Vallée,0,597,543,324,79,3
Marseille,0,19,87,186,84,3
Marseille 10e  Arrondissement,0,150,171,166,60,0
Marseille 11e  Arrondissement,0,30,15,10,2,0
Marseille 12e  Arrondissement,0,75,90,41,6,0
Marseille 13e  Arrondissement,0,246,334,228,52,7
Marseille 14e  Arrondissement,0,30,33,8,0,0
Marseille 15e  Arrondissement,0,48,65,36,6,0
Marseille 16e  Arrondissement,1,10,12,7,1,0
Marseille  1er Arrondissement,0,440,302,307,267,41
Marseille  3e  Arrondissement,0,186,189,141,47,5
Marseille  4e  Arrondissement,0,1,2,3,1,0
Marseille  5e  Arrondissement,0,218,497,610,386,56
Marseille  6e  Arrondissement,1,163,136,52,12,0
Marseille  7e  Arrondissement,0,98,104,48,3,0
Marseille  8e  Arrondissement,3,141,155,108,41,1
Marseille  9e  Arrondissement,0,351,427,231,59,5
Martigues,0,67,53,18,2,0
Marvejols,0,13,7,5,1,0
Masseube,0,15,10,4,0,0
Massy,0,143,146,70,11,0
Matoury,0,10,10,3,1,0
Maubeuge,0,115,97,53,12,0
