Saint-Etienne,Sans information,0
Lucé,Très bien avec félicitations du jury,0
Orvault,Bien,16
L'Isle-Jourdain,Bien,0
Rodilhan,Très bien avec félicitations du jury,0
Béthune,Sans mention,211
Hyères,Bien,7
Etampes,Bien,15
Saint-Girons,Assez bien,2
Sélestat,Très bien,6
Revel,Sans information,0
Olivet,Assez bien,25
Blaye,Sans information,0
Rouillé,Très bien avec félicitations du jury,0
Guilherand-Granges,Sans information,0
Mesnières-en-Bray,Bien,2
Ahun,Très bien,0
Enghien-les-Bains,Très bien,20
Yvetot,Assez bien,23
Saint-Pierre-Quiberon,Bien,0
Arpajon,Bien,11
Aubusson,Très bien,1
Airion,Assez bien,3
Deauville,Assez bien,10
Villepinte,Assez bien,10
Thillois,Très bien,0
Bohain-en-Vermandois,Sans mention,5
Pirae,Très bien avec félicitations du jury,0
Noeux-les-Mines,Très bien,1
Saint-Michel-sur-Orge,Bien,9
Lagny-sur-Marne,Sans information,0
Sarreguemines,Très bien avec félicitations du jury,0
Paris 10e  Arrondissement,Sans mention,198
Barbezieux-Saint-Hilaire,Assez bien,8
Limoux,Sans information,0
Lyon,Assez bien,734
Ollioules,Bien,30
Clichy,Très bien avec félicitations du jury,1
Laon,Très bien avec félicitations du jury,0
Clermont-l'Hérault,Très bien avec félicitations du jury,0
Guyancourt,Sans information,4
Chemillé-en-Anjou,Très bien avec félicitations du jury,0
Paris 10e  Arrondissement,Assez bien,212
Reims,Très bien avec félicitations du jury,162
Carcassonne,Assez bien,118
Avallon,Bien,4
Gif-sur-Yvette,Sans information,0
Aix-en-Provence,Assez bien,2240
Pézenas,Sans mention,14
Joinville-le-Pont,Très bien,0
Auxerre,Très bien avec félicitations du jury,0
Dannemarie-sur-Crète,Assez bien,23
Saint-Denis,Assez bien,2258
Bellerive-sur-Allier,Très bien,0
Puteaux,Très bien,6
Le Tremblay-sur-Mauldre,Très bien avec félicitations du jury,0
Poisy,Très bien avec félicitations du jury,0
Vauréal,Très bien avec félicitations du jury,0
Saint-Brieuc,Très bien avec félicitations du jury,1
Saint-Sébastien-sur-Loire,Bien,44
Questembert,Sans information,0
Lopérec,Très bien,1
Lodève,Assez bien,6
La Garde,Très bien,69
Clisson,Sans mention,9
Villeneuve-d'Ascq,Très bien avec félicitations du jury,39
Saint-Etienne,Sans mention,1457
Aix-les-Bains,Sans information,0
Orly,Très bien avec félicitations du jury,0
Figeac,Très bien,4
Le Blanc,Très bien avec félicitations du jury,0
Mesnils-sur-Iton,Bien,4
Saint-Chamas,Très bien,0
Mugron,Très bien avec félicitations du jury,0
Montauban,Sans information,0
La Celle-Saint-Cloud,Assez bien,8
Hanoï,Sans mention,0
Gugnécourt,Bien,1
Saint-Ouen-l'Aumône,Sans information,0
Saint-Amand-Montrond,Sans mention,11
Valserhône,Sans mention,3
Etampes,Très bien,0
Marseille,Sans information,0
Le Kremlin-Bicêtre,Bien,198
La Grand-Combe,Bien,5
Montferrier-sur-Lez,Très bien,2
Beaugency,Sans mention,4
Parthenay,Très bien avec félicitations du jury,0
Le François,Bien,1
Saint-Leu,Très bien avec félicitations du jury,0
Perpignan,Sans information,0
Sainte-Suzanne,Très bien avec félicitations du jury,0
Poisy,Sans mention,26
Les Moutiers-en-Cinglais,Très bien avec félicitations du jury,0
Saint-Paul-Trois-Châteaux,Très bien avec félicitations du jury,0
Chalon-sur-Saône,Très bien avec félicitations du jury,1
Lasbordes,Sans mention,24
Castelnaudary,Assez bien,18
Elne,Sans information,0
Auch,Très bien,9
Oeyreluy,Assez bien,13
Saint-Affrique,Sans information,0
Argenteuil,Très bien,10
Ermont,Sans information,0
La Roche-sur-Foron,Très bien,1
Etel,Très bien,2
Nangis,Bien,3
Le Mesnil-Esnard,Bien,10
Romilly-sur-Seine,Très bien avec félicitations du jury,0
Schoeneck,Sans mention,6
Dardilly,Sans information,0
Gonesse,Sans mention,47
Rambouillet,Bien,50
Oxford,Sans information,0
Saint-André,Sans mention,42
Sin-le-Noble,Très bien avec félicitations du jury,0
Jacou,Très bien avec félicitations du jury,0
Louviers,Bien,6
Magnac-Laval,Très bien,1
Darnétal,Très bien avec félicitations du jury,1
Saint-Médard-en-Jalles,Assez bien,6
Colmar,Sans information,0
Le Puy-en-Velay,Sans mention,135
Vire Normandie,Bien,11
Avallon,Très bien avec félicitations du jury,0
Bernay,Très bien,1
Lingolsheim,Très bien,8
Tours,Très bien avec félicitations du jury,94
London,Très bien avec félicitations du jury,4
Louviers,Sans information,2
Saint-Maurice,Très bien,1
Neuilly-sur-Marne,Très bien,4
Basse-Terre,Sans information,0
Antony,Assez bien,31
Egletons,Assez bien,80
